                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.50124,                0.89747,                0.57828,                0.89723,                0.93264,                      1,                0.96746,                0.86055,                0.93264,                      1,                0.96746,                0.77852,                0.49019,                0.79457,                0.59921,                0.94342,               0.002212,               0.002212,               0.002212
                     61,                0.53702,                0.96247,                0.59072,                0.93737,                0.92879,                      1,                 0.9573,                0.82563,                0.92879,                      1,                 0.9573,                0.76011,                0.48274,                0.79685,                0.62243,                0.93232,                0.00208,                0.00208,                0.00208
                     62,                0.51369,                0.94099,                0.55398,                0.90188,                 0.9304,                      1,                 0.9585,                0.82948,                 0.9304,                      1,                 0.9585,                0.76301,                0.47923,                 0.7951,                 0.6177,                0.92896,               0.001948,               0.001948,               0.001948
                     63,                0.51632,                0.96649,                0.57712,                0.90695,                0.93092,                      1,                0.96918,                0.84153,                0.93092,                      1,                0.96918,                0.78013,                0.46647,                0.80113,                0.60717,                0.92339,               0.001816,               0.001816,               0.001816
                     64,                0.54083,                0.91458,                0.58143,                0.93694,                0.93152,                      1,                0.97371,                0.85314,                0.93152,                      1,                0.97371,                0.79524,                 0.4699,                0.79682,                0.59026,                0.92352,               0.001684,               0.001684,               0.001684
                     65,                0.42982,                0.80881,                 0.6028,                0.88579,                0.93354,                      1,                0.99079,                0.87013,                0.93354,                      1,                0.99079,                 0.8192,                0.46003,                0.80122,                 0.5809,                 0.9261,               0.001552,               0.001552,               0.001552
                     66,                0.41743,                0.79853,                0.59734,                0.85334,                0.93402,                      1,                0.99312,                0.87342,                0.93402,                      1,                0.99312,                0.82695,                0.46592,                0.80398,                0.58437,                0.92621,                0.00142,                0.00142,                0.00142
                     67,                0.43747,                0.80889,                0.60998,                0.88707,                0.93334,                      1,                0.99212,                0.87319,                0.93334,                      1,                0.99212,                0.82667,                0.47593,                 0.8073,                0.59426,                0.93482,               0.001288,               0.001288,               0.001288
                     68,                0.44461,                0.83568,                0.61325,                0.89342,                0.93519,                      1,                  0.985,                0.87198,                0.93519,                      1,                  0.985,                0.83057,                0.47037,                 0.8012,                 0.5864,                0.93542,               0.001156,               0.001156,               0.001156
                     69,                0.41019,                0.77997,                0.58067,                0.87511,                0.93737,                      1,                0.97646,                0.86288,                0.93737,                      1,                0.97646,                0.82161,                0.46486,                 0.7922,                0.57191,                0.93073,               0.001024,               0.001024,               0.001024
                     70,                0.42442,                0.79822,                0.58095,                0.86562,                0.93004,                      1,                0.96842,                0.86645,                0.93004,                      1,                0.96842,                  0.815,                0.45106,                0.79089,                0.57045,                0.92259,               0.000892,               0.000892,               0.000892
                     71,                0.42774,                0.79387,                0.59066,                0.85651,                0.93494,                      1,                0.97804,                0.87083,                0.93494,                      1,                0.97804,                0.82571,                0.45939,                0.78524,                0.56091,                0.93199,                0.00076,                0.00076,                0.00076
                     72,                0.42392,                0.78291,                0.58454,                0.87875,                 0.9324,                      1,                0.97946,                0.86534,                 0.9324,                      1,                0.97946,                0.82447,                0.46023,                0.78446,                  0.559,                0.93517,               0.000628,               0.000628,               0.000628
                     73,                0.41444,                0.80171,                0.57126,                0.85411,                  0.932,                      1,                0.97953,                0.86874,                  0.932,                      1,                0.97953,                0.82793,                0.46015,                0.77366,                0.55156,                0.93597,               0.000496,               0.000496,               0.000496
                     74,                0.40485,                0.79575,                0.58033,                0.83895,                0.93075,                      1,                0.98412,                0.85478,                0.93075,                      1,                0.98412,                0.83096,                 0.4635,                0.77189,                0.54466,                0.93739,               0.000364,               0.000364,               0.000364
